Bus Name,Departure Time,Arrival Time,price/seat
LABIBA Classic Ltd,12:00 AM,4:45 AM,৳ 650
LABIBA Classic Ltd,5:00 AM,1:15 PM,৳ 650
LABIBA Classic Ltd,5:35 AM,1:15 PM,৳ 650
LABIBA Classic Ltd,5:45 AM,12:45 PM,৳ 650
Ena Transport (Pvt) Ltd,5:45 AM,10:00 AM,৳ 500
LABIBA Classic Ltd,6:00 AM,1:00 PM,৳ 650
Hanif Enterprise,6:00 AM,9:30 AM,৳ 500
LABIBA Classic Ltd,6:15 AM,11:45 AM,৳ 650
Ena Transport (Pvt) Ltd,6:15 AM,10:30 AM,৳ 600
Hanif Enterprise,6:30 AM,5:00 PM,৳ 500
Seven Star Deluxe Paribahan,6:30 AM,3:00 PM,৳ 500
Ena Transport (Pvt) Ltd,6:30 AM,11:00 AM,৳ 600
Ena Transport (Pvt) Ltd,6:30 AM,10:30 AM,৳ 500
SHOHAGH PARIBAHAN,6:30 AM,2:30 PM,৳ 1200
LABIBA Classic Ltd,6:40 AM,12:00 PM,৳ 650
LABIBA Classic Ltd,6:45 AM,1:00 PM,৳ 650
Hanif Enterprise,7:00 AM,1:30 PM,৳ 600
Hanif Enterprise,7:00 AM,12:00 PM,৳ 500
LABIBA Classic Ltd,7:05 AM,12:45 PM,৳ 650
LABIBA Classic Ltd,7:30 AM,3:15 PM,৳ 650
LABIBA Classic Ltd,7:30 AM,12:15 PM,৳ 650
SHOHAGH PARIBAHAN,7:50 AM,3:50 PM,৳ 1200
Hanif Enterprise,8:00 AM,1:00 PM,৳ 500
Ena Transport (Pvt) Ltd,8:15 AM,12:00 PM,৳ 500
LABIBA Classic Ltd,8:15 AM,3:15 PM,৳ 650
SHOHAGH PARIBAHAN,9:00 AM,5:00 PM,৳ 1200
Hanif Enterprise,9:00 AM,2:00 PM,৳ 500
Ena Transport (Pvt) Ltd,9:15 AM,1:00 PM,৳ 500
SHOHAGH PARIBAHAN,9:40 AM,5:40 PM,৳ 1200
Hanif Enterprise,10:00 AM,3:00 PM,৳ 500
Ena Transport (Pvt) Ltd,10:15 AM,2:00 PM,৳ 500
LABIBA Classic Ltd,10:15 AM,4:15 PM,৳ 650
LABIBA Classic Ltd,11:15 AM,4:15 PM,৳ 650
Ena Transport (Pvt) Ltd,12:00 PM,5:00 PM,৳ 600
Hanif Enterprise,12:00 PM,5:00 PM,৳ 500
Ena Transport (Pvt) Ltd,12:15 PM,4:15 PM,৳ 500
LABIBA Classic Ltd,12:15 PM,6:15 PM,৳ 650
LABIBA Classic Ltd,1:00 PM,7:15 PM,৳ 650
Hanif Enterprise,1:00 PM,6:00 PM,৳ 500
LABIBA Classic Ltd,1:15 PM,6:15 PM,৳ 650
Ena Transport (Pvt) Ltd,1:30 PM,6:00 PM,৳ 600
LABIBA Classic Ltd,1:30 PM,7:15 PM,৳ 650
LABIBA Classic Ltd,1:45 PM,7:15 PM,৳ 650
SHOHAGH PARIBAHAN,2:00 PM,10:00 PM,৳ 1200
Ena Transport (Pvt) Ltd,2:15 PM,6:00 PM,৳ 500
LABIBA Classic Ltd,2:15 PM,7:15 PM,৳ 650
LABIBA Classic Ltd,3:00 PM,10:00 PM,৳ 650
Seven Star Deluxe Paribahan,3:00 PM,11:30 PM,৳ 500
Ena Transport (Pvt) Ltd,3:15 PM,7:00 PM,৳ 500
LABIBA Classic Ltd,3:45 PM,10:00 PM,৳ 650
LABIBA Classic Ltd,3:45 PM,11:15 PM,৳ 650
Ena Transport (Pvt) Ltd,4:00 PM,9:45 PM,৳ 600
Hanif Enterprise,4:00 PM,9:00 PM,৳ 500
Ena Transport (Pvt) Ltd,4:15 PM,8:00 PM,৳ 500
LABIBA Classic Ltd,4:30 PM,10:45 PM,৳ 650
SHOHAGH PARIBAHAN,4:30 PM,12:30 AM,৳ 1200
LABIBA Classic Ltd,4:45 PM,11:15 PM,৳ 650
Ena Transport (Pvt) Ltd,4:45 PM,10:00 PM,৳ 500
SHOHAGH PARIBAHAN,6:00 PM,2:00 AM,৳ 1200
Ena Transport (Pvt) Ltd,6:00 PM,10:00 PM,৳ 600
Ena Transport (Pvt) Ltd,6:00 PM,9:30 PM,৳ 500
Ena Transport (Pvt) Ltd,6:30 PM,10:30 PM,৳ 500
Seven Star Deluxe Paribahan,7:00 PM,5:15 AM,৳ 500
SHOHAGH PARIBAHAN,7:15 PM,3:15 AM,৳ 1200
LABIBA Classic Ltd,7:30 PM,1:30 AM,৳ 650
LABIBA Classic Ltd,7:45 PM,2:45 AM,৳ 650
Ena Transport (Pvt) Ltd,8:00 PM,11:30 PM,৳ 500
LABIBA Classic Ltd,8:00 PM,3:30 AM,৳ 650
LABIBA Classic Ltd,8:30 PM,3:30 AM,৳ 650
LABIBA Classic Ltd,8:30 PM,1:30 AM,৳ 650
LABIBA Classic Ltd,8:45 PM,3:30 AM,৳ 650
Ena Transport (Pvt) Ltd,9:15 PM,1:00 AM,৳ 500
LABIBA Classic Ltd,9:30 PM,5:45 AM,৳ 650
Diganta Paribahan,9:30 PM,8:00 AM,৳ 700
SHOHAGH PARIBAHAN,9:45 PM,5:45 AM,৳ 1200
LABIBA Classic Ltd,9:45 PM,6:30 AM,৳ 650
Ena Transport (Pvt) Ltd,10:15 PM,2:00 AM,৳ 500
LABIBA Classic Ltd,10:15 PM,5:15 AM,৳ 650
LABIBA Classic Ltd,10:30 PM,5:45 AM,৳ 650
Ena Transport (Pvt) Ltd,10:45 PM,4:30 AM,৳ 600
LABIBA Classic Ltd,11:00 PM,5:15 AM,৳ 650
LABIBA Classic Ltd,11:15 PM,4:45 AM,৳ 650
