Bus Name,Departure time,Arrival Time,Price/seat
Hanif Enterprise,5:30 AM,11:30 PM,৳ 550
Hanif Enterprise,5:50 AM,2:30 PM,৳ 600
Hanif Enterprise,5:50 AM,2:30 PM,৳ 550
S.R Travels (Pvt) Ltd,6:00 AM,11:00 AM,৳ 550
Hanif Enterprise,6:15 AM,1:00 PM,৳ 550
Akota Transport,6:15 AM,11:30 AM,৳ 545
Unity,6:20 AM,1:20 PM,৳ 550
Unity,6:20 AM,1:20 PM,৳ 550
Unity,6:20 AM,1:20 PM,৳ 550
Akota Transport,6:30 AM,11:30 AM,৳ 545
Hanif Enterprise,6:30 AM,12:00 PM,৳ 550
Hanif Enterprise,6:50 AM,3:30 PM,৳ 600
Hanif Enterprise,6:50 AM,3:30 PM,৳ 550
Hanif Enterprise,7:00 AM,2:00 PM,৳ 550
Manik Express,7:00 AM,12:00 PM,৳ 1000
Akota Transport,7:00 AM,12:00 PM,৳ 545
S.R Travels (Pvt) Ltd,7:00 AM,12:00 PM,৳ 900
Orin Travels,7:15 AM,1:00 PM,৳ 550
S.R Travels (Pvt) Ltd,7:15 AM,12:15 PM,৳ 550
Akota Transport,7:15 AM,12:30 PM,৳ 545
Unity,7:20 AM,2:20 PM,৳ 550
Unity,7:20 AM,2:20 PM,৳ 550
Unity,7:20 AM,2:20 PM,৳ 550
S.R Travels (Pvt) Ltd,7:30 AM,1:00 PM,৳ 550
S.R Travels (Pvt) Ltd,7:30 AM,12:30 PM,৳ 1200
Hanif Enterprise,7:30 AM,3:30 PM,৳ 550
Hanif Enterprise,7:30 AM,1:30 AM,৳ 550
Nabil Paribahan,7:45 AM,11:00 AM,৳ 550
Manik Express,7:55 AM,12:30 PM,৳ 1200
Agomony Express,8:00 AM,3:00 PM,৳ 1200
Sukriya Express,8:00 AM,1:30 PM,৳ 1300
Akota Transport,8:00 AM,1:00 PM,৳ 1300
Hanif Enterprise,8:00 AM,4:40 PM,৳ 700 | ৳ 600
Sukriya Express,8:00 AM,1:30 PM,৳ 545
S.R Travels (Pvt) Ltd,8:00 AM,1:00 PM,৳ 550
S.R Travels (Pvt) Ltd,8:15 AM,1:15 PM,৳ 650 | ৳ 550
Unity,8:20 AM,2:20 PM,৳ 1200
Unity,8:20 AM,2:20 PM,৳ 550
Unity,8:20 AM,2:20 PM,৳ 550
S.R Travels (Pvt) Ltd,8:30 AM,1:30 PM,৳ 550
Orin Travels,8:30 AM,2:00 PM,৳ 550
Akota Transport,8:30 AM,1:30 PM,৳ 550
S.R Travels (Pvt) Ltd,8:30 AM,2:00 PM,৳ 550
S.R Travels (Pvt) Ltd,8:45 AM,5:45 PM,৳ 545
Hanif Enterprise,9:00 AM,4:00 PM,৳ 550
Hanif Enterprise,9:00 AM,4:00 PM,৳ 1200
Hanif Enterprise,9:00 AM,4:00 PM,৳ 1300 | ৳ 1200
Hanif Enterprise,9:00 AM,5:30 PM,৳ 1300 | ৳ 1200
Hanif Enterprise,9:00 AM,5:30 PM,৳ 550
S.R Travels (Pvt) Ltd,9:15 AM,3:00 PM,৳ 550
S.R Travels (Pvt) Ltd,9:15 AM,2:15 PM,৳ 600
Nabil Paribahan,9:15 AM,1:00 PM,৳ 550
Unity,9:20 AM,4:20 PM,৳ 550
Unity,9:20 AM,4:20 PM,৳ 1200
Unity,9:20 AM,4:20 PM,৳ 550
Hanif Enterprise,9:30 AM,4:30 PM,৳ 550
S.R Travels (Pvt) Ltd,9:30 AM,2:30 PM,৳ 550
Orin Travels,9:30 AM,4:30 PM,৳ 550
Akota Transport,9:30 AM,2:30 PM,৳ 550
Hanif Enterprise,9:30 AM,3:30 AM,৳ 550
S.R Travels (Pvt) Ltd,10:00 AM,3:00 PM,৳ 550
Manik Express,10:00 AM,3:00 PM,৳ 545
Akota Transport,10:00 AM,3:00 PM,৳ 550
Nabil Paribahan,10:00 AM,6:00 PM,৳ 900
Unity,10:00 AM,4:20 PM,৳ 1200
Unity,10:00 AM,4:20 PM,৳ 1200
Unity,10:00 AM,4:20 PM,৳ 545
S.R Travels (Pvt) Ltd,10:15 AM,3:15 PM,৳ 1300
Akota Transport,10:15 AM,3:15 PM,৳ 1300
S.R Travels (Pvt) Ltd,10:30 AM,3:30 PM,৳ 550
Orin Travels,10:30 AM,6:00 PM,৳ 550
Alhamra Paribahan,10:30 AM,7:00 PM,৳ 550
S.R Travels (Pvt) Ltd,10:30 AM,4:00 PM,৳ 1200
Hanif Enterprise,10:30 AM,6:30 PM,৳ 650
S.R Travels (Pvt) Ltd,10:30 AM,3:30 PM,৳ 550
Nabil Paribahan,10:30 AM,2:30 PM,৳ 1000
Hanif Enterprise,10:30 AM,7:10 PM,৳ 1200
S.R Travels (Pvt) Ltd,10:45 AM,3:45 PM,৳ 700
Akota Transport,10:50 AM,3:50 PM,৳ 550
Unity,11:00 AM,7:20 AM,৳ 700
Manik Express,11:00 AM,4:00 PM,৳ 550
Hanif Enterprise,11:00 AM,6:00 PM,৳ 550
S.R Travels (Pvt) Ltd,11:15 AM,5:15 PM,৳ 1200
S.R Travels (Pvt) Ltd,11:15 AM,4:45 PM,৳ 545
S.R Travels (Pvt) Ltd,11:15 AM,4:15 PM,৳ 550
Orin Travels,11:15 AM,6:00 PM,৳ 1000
Akota Transport,11:30 AM,4:30 PM,৳ 550
S.R Travels (Pvt) Ltd,11:30 AM,4:30 PM,৳ 550
Hanif Enterprise,11:30 AM,6:30 PM,৳ 550
Hanif Enterprise,11:30 AM,5:30 AM,৳ 1200
Hanif Enterprise,11:30 AM,5:00 PM,৳ 550
S.R Travels (Pvt) Ltd,11:45 AM,5:45 PM,৳ 545
S.R Travels (Pvt) Ltd,12:00 PM,5:00 PM,৳ 550
S.R Travels (Pvt) Ltd,12:15 PM,5:45 PM,৳ 550
S.R Travels (Pvt) Ltd,12:15 PM,6:45 PM,৳ 550
Rongdhonu Express,12:30 PM,7:30 PM,৳ 550
Hanif Enterprise,12:30 PM,7:30 PM,৳ 900
Hanif Enterprise,12:30 PM,9:00 PM,৳ 550
Hanif Enterprise,12:30 PM,6:00 PM,৳ 550
Hanif Enterprise,12:30 PM,9:10 PM,৳ 550
Akota Transport,12:30 PM,5:30 PM,৳ 800
S.R Travels (Pvt) Ltd,12:45 PM,5:45 PM,৳ 550
Akota Transport,1:00 PM,6:00 PM,৳ 600
Manik Express,1:00 PM,6:00 PM,৳ 550
Unity,1:00 PM,7:00 PM,৳ 550
Unity,1:00 PM,7:00 PM,৳ 545
Alhamra Paribahan,1:00 PM,7:00 PM,৳ 1200
Orin Travels,1:00 PM,6:15 PM,৳ 545
S.R Travels (Pvt) Ltd,1:00 PM,6:00 PM,৳ 800
Unity,1:00 PM,7:00 PM,৳ 550
Orin Travels,1:15 PM,7:15 PM,৳ 550
Akota Transport,1:30 PM,6:30 PM,৳ 1000
S.R Travels (Pvt) Ltd,1:30 PM,7:30 PM,৳ 550
S.R Travels (Pvt) Ltd,1:30 PM,7:00 PM,৳ 550
Hanif Enterprise,2:00 PM,10:40 PM,৳ 550
Orin Travels,2:00 PM,7:15 PM,৳ 800
Nabil Paribahan,2:00 PM,7:00 PM,৳ 545
Akota Transport,2:00 PM,7:00 PM,৳ 550
Rongdhonu Express,2:00 PM,9:00 PM,৳ 550
Hanif Enterprise,2:00 PM,8:00 AM,৳ 550
Hanif Enterprise,2:30 PM,8:00 PM,৳ 550
Manik Express,2:30 PM,7:30 PM,৳ 800
S.R Travels (Pvt) Ltd,2:30 PM,7:30 PM,৳ 545
Hanif Enterprise,2:50 PM,11:30 PM,৳ 800
S.R Travels (Pvt) Ltd,3:00 PM,8:00 PM,৳ 550
Hanif Enterprise,3:00 PM,10:00 PM,৳ 550
Orin Travels,3:00 PM,9:00 PM,৳ 1200
Alhamra Paribahan,3:00 PM,9:00 PM,৳ 1200
Hanif Enterprise,3:00 PM,11:40 PM,৳ 550
Akota Transport,3:00 PM,8:00 PM,৳ 550
S.R Travels (Pvt) Ltd,3:15 PM,8:15 PM,৳ 550
Unity,3:20 PM,10:20 PM,৳ 550
Unity,3:20 PM,10:20 PM,৳ 550
Unity,3:20 PM,10:20 PM,৳ 800
S.R Travels (Pvt) Ltd,3:30 PM,8:30 PM,৳ 600
Akota Transport,3:30 PM,8:30 PM,৳ 545
S.R Travels (Pvt) Ltd,3:45 PM,8:45 PM,৳ 1200
Hanif Enterprise,4:00 PM,12:30 AM,৳ 550
Hanif Enterprise,4:00 PM,12:30 AM,৳ 550
Akota Transport,4:00 PM,9:00 PM,৳ 550
Manik Express,4:00 PM,9:00 PM,৳ 550
Orin Travels,4:15 PM,10:30 PM,৳ 545
S.R Travels (Pvt) Ltd,4:30 PM,10:00 PM,৳ 1200
S.R Travels (Pvt) Ltd,4:30 PM,9:30 PM,৳ 550
Hanif Enterprise,4:30 PM,11:30 PM,৳ 600
S.R Travels (Pvt) Ltd,4:30 PM,11:00 PM,৳ 545
Hanif Enterprise,4:30 PM,3:30 AM,৳ 1000
Akota Transport,4:30 PM,9:30 PM,৳ 550
Hanif Enterprise,5:00 PM,12:00 AM,৳ 550
Manik Express,5:00 PM,11:55 PM,৳ 1200
Akota Transport,5:15 PM,10:15 PM,৳ 550
S.R Travels (Pvt) Ltd,5:15 PM,10:15 PM,৳ 550
Hanif Enterprise,5:20 PM,2:00 AM,৳ 550
Unity,5:20 PM,12:20 AM,৳ 545
Unity,5:20 PM,12:20 AM,৳ 550
Hanif Enterprise,5:20 PM,2:00 AM,৳ 1200
Unity,5:20 PM,12:20 AM,৳ 650
Akota Transport,5:30 PM,10:30 PM,৳ 900
Alhamra Paribahan,5:30 PM,1:00 AM,৳ 550
S.R Travels (Pvt) Ltd,5:30 PM,10:30 PM,৳ 550
S.R Travels (Pvt) Ltd,6:00 PM,11:00 PM,৳ 550
Akota Transport,6:00 PM,11:00 PM,৳ 600
S.R Travels (Pvt) Ltd,6:00 PM,12:00 AM,৳ 550
S.R Travels (Pvt) Ltd,6:00 PM,11:30 PM,৳ 545
Orin Travels,6:15 PM,12:15 AM,৳ 550
Unity,6:20 PM,1:20 AM,৳ 550
Unity,6:20 PM,1:20 AM,৳ 550
Unity,6:20 PM,1:20 AM,৳ 545
Hanif Enterprise,6:30 PM,1:00 AM,৳ 550
Manik Express,6:30 PM,11:30 PM,৳ 550
S.R Travels (Pvt) Ltd,6:30 PM,11:30 PM,৳ 550
S.R Travels (Pvt) Ltd,7:00 PM,12:00 AM,৳ 550
Akota Transport,7:00 PM,3:00 AM,৳ 500
Times Travels,7:00 PM,2:00 AM,৳ 500
Unity,7:20 PM,2:20 AM,৳ 550
Unity,7:20 PM,2:20 AM,৳ 1000
Unity,7:20 PM,2:20 AM,৳ 700
Hanif Enterprise,7:30 PM,4:10 AM,৳ 550
Hanif Enterprise,7:30 PM,4:10 AM,৳ 545
Akota Transport,7:30 PM,12:30 AM,৳ 1500
Hanif Enterprise,7:30 PM,4:30 AM,৳ 550
S.R Travels (Pvt) Ltd,7:30 PM,12:30 AM,৳ 550
Hanif Enterprise,8:00 PM,2:30 AM,৳ 550
S.R Travels (Pvt) Ltd,8:00 PM,1:00 AM,৳ 550
Orin Travels,8:00 PM,1:00 AM,৳ 600
Akota Transport,8:15 PM,1:15 AM,৳ 545
Unity,8:20 PM,3:20 AM,৳ 550
Unity,8:20 PM,3:20 AM,৳ 900
Unity,8:20 PM,3:20 AM,৳ 550
Shah Ali Paribahan,8:30 PM,4:30 AM,৳ 550
Nabil Paribahan,9:00 PM,3:00 PM,৳ 550
Hanif Enterprise,9:00 PM,4:00 AM,৳ 545
Fahmita Express,9:00 PM,8:00 AM,৳ 550
Orin Travels,9:00 PM,3:00 AM,৳ 550
S.R Travels (Pvt) Ltd,9:00 PM,2:30 AM,৳ 550
Rongdhonu Express,9:15 PM,4:15 AM,৳ 800
Haque Enterprise,9:15 PM,3:30 AM,৳ 550
Akota Transport,9:15 PM,6:00 AM,৳ 550
Asad Enterprise,9:20 PM,5:50 AM,৳ 1000 | ৳ 900
Unity,9:20 PM,4:20 AM,৳ 550
Unity,9:20 PM,4:20 AM,৳ 550
Unity,9:20 PM,4:20 AM,৳ 800
Arafat Paribahan,9:30 PM,6:30 AM,৳ 700
Hanif Enterprise,9:30 PM,4:30 AM,৳ 545
Heritage Travels,9:30 PM,7:00 AM,৳ 730
S.R Travels (Pvt) Ltd,9:30 PM,7:30 AM,৳ 550
Shah Ali Paribahan,9:30 PM,6:00 AM,৳ 550
Unity,9:40 PM,4:20 AM,৳ 550
Unity,9:40 PM,4:20 AM,৳ 900
Unity,9:40 PM,4:20 AM,৳ 900
S.R Travels (Pvt) Ltd,9:45 PM,2:45 AM,৳ 550
Shah Ali Paribahan,9:45 PM,6:00 AM,৳ 1400
S.R Travels (Pvt) Ltd,9:45 PM,3:15 AM,৳ 1400
Nabil Paribahan,9:45 PM,6:00 AM,৳ 900
Akota Transport,9:45 PM,2:45 AM,৳ 1100
46 Express Ltd,9:45 PM,4:00 AM,৳ 550
Euro Coach,10:00 PM,7:30 AM,৳ 550
Agomony Express,10:00 PM,5:00 AM,৳ 550
Nabil Paribahan,10:00 PM,4:00 AM,৳ 700
Orin Travels,10:00 PM,4:30 AM,৳ 1600
Burimari Express,10:00 PM,6:00 AM,৳ 1600
Hanif Enterprise,10:00 PM,6:30 AM,৳ 800
Hanif Enterprise,10:00 PM,6:30 AM,৳ 1300
Heritage Travels,10:00 PM,8:00 AM,৳ 545
S.R Travels (Pvt) Ltd,10:10 PM,3:10 AM,৳ 1500
Akota Transport,10:15 PM,7:00 AM,৳ 1500
S.R Travels (Pvt) Ltd,10:15 PM,3:15 AM,৳ 1200 | ৳ 1000
Unity,10:20 PM,6:20 AM,৳ 1500 | ৳ 1300
Unity,10:20 PM,6:20 AM,৳ 1300
Unity,10:20 PM,6:20 AM,৳ 1300
Arafat Paribahan,10:30 PM,6:15 AM,৳ 550
Hanif Enterprise,10:30 PM,7:10 AM,৳ 550
Orin Travels,10:30 PM,5:00 AM,৳ 1300
Alhamra Paribahan,10:30 PM,6:45 AM,৳ 550
S.R Travels (Pvt) Ltd,10:30 PM,3:30 AM,৳ 600
Agomony Express,10:30 PM,3:30 AM,৳ 1400
Heritage Travels,10:30 PM,6:00 AM,৳ 1400
S.R Travels (Pvt) Ltd,10:40 PM,3:40 AM,৳ 1200
Asad Enterprise,10:45 PM,6:15 AM,৳ 550
S.R Travels (Pvt) Ltd,10:45 PM,4:15 AM,৳ 550
S.R Travels (Pvt) Ltd,10:45 PM,3:45 AM,৳ 550
Akota Transport,10:45 PM,4:30 AM,৳ 550
Orin Travels,11:00 PM,5:00 AM,৳ 550
Manik Express,11:00 PM,5:00 AM,৳ 1200
Alhamra Paribahan,11:00 PM,7:00 PM,৳ 1200
Hanif Enterprise,11:00 PM,6:00 AM,৳ 550
Asad Enterprise,11:00 PM,4:30 AM,৳ 1000
Hanif Enterprise,11:00 PM,6:00 AM,৳ 900
Hanif Enterprise,11:00 PM,6:00 AM,৳ 550
Nabil Paribahan,11:00 PM,4:30 AM,৳ 800
Hanif Enterprise,11:00 PM,5:00 AM,৳ 1400
Hanif Enterprise,11:00 PM,7:00 AM,৳ 1400
S.R Travels (Pvt) Ltd,11:10 PM,4:10 AM,৳ 1200
Akota Transport,11:15 PM,7:00 AM,৳ 550
S.R Travels (Pvt) Ltd,11:20 PM,4:20 AM,৳ 550
Unity,11:20 PM,7:20 AM,৳ 700
S.R Travels (Pvt) Ltd,11:25 PM,5:25 AM,৳ 650
Alhamra Paribahan,11:30 PM,7:55 AM,৳ 800
Orin Travels,11:30 PM,5:15 AM,৳ 1000
Manik Express,11:30 PM,4:30 AM,৳ 550
Hanif Enterprise,11:30 PM,5:00 AM,৳ 1300 | ৳ 1200
S.R Travels (Pvt) Ltd,11:30 PM,4:30 AM,৳ 1300 | ৳ 1200
Hanif Enterprise,11:30 PM,8:10 AM,৳ 850
Hanif Enterprise,11:30 PM,6:30 AM,৳ 550
S.R Travels (Pvt) Ltd,11:40 PM,4:40 AM,৳ 550
Nabil Paribahan,11:45 PM,4:00 AM,৳ 550
Akota Transport,11:45 PM,5:00 PM,৳ 550
S.R Travels (Pvt) Ltd,11:50 PM,4:50 AM,৳ 1200
S.R Travels (Pvt) Ltd,11:55 PM,4:55 AM,৳ 1200
Unity,11:55 PM,7:55 AM,৳ 1200
Nabil Paribahan,11:55 PM,4:00 AM,৳ 545
Akota Transport,11:55 PM,4:55 AM,৳ 550
Unity,11:55 PM,7:55 AM,৳ 550
Manik Express,11:59 PM,5:30 AM,৳ 900
