hotel name,currency,price,properties
West Park Inn,USD,30,This property offers: | Breakfast | Parking | Free WiFi | +1
Dhaka Regency Hotel & Resort Limited,USD,94,This property offers: | Breakfast | Parking | +2
Ali International Hotel,USD,89,This property offers: | Parking | Free WiFi
Intercontinental Dhaka,USD,13,This property offers: | Breakfast | Parking | +2
Pan Pacific Sonargaon Dhaka,USD,109,This property offers: | Breakfast | Welcome drink | +3
Six Seasons Hotel,USD,108,This property offers: | Breakfast | Parking | +2
Hotel Ornate,USD,110,This property offers: | Breakfast | Parking | Free WiFi
Memento Residence,USD,107,This property offers: | Breakfast | Parking | +2
FARS Hotel & Resorts - BAR-Buffet-Pool-SPA,USD,25,This property offers: | Breakfast | Parking | +2
Hotel Bengal Canary Park,USD,22,This property offers: | Breakfast | Parking | Free WiFi
Gulshan Lake View Hotel,USD,53,This property offers: | Breakfast | Free WiFi | +2
Holiday Inn Dhaka City Center,USD,53,This property offers: | Breakfast | Parking | +2
Hotel 71,USD,47,This property offers: | Breakfast | Parking | Free WiFi
Radisson Blu Dhaka Water Garden,USD,44,This property offers: | Breakfast | Express check-in | +1
Century Park Residence,USD,27,This property offers: | Breakfast | +4
Hotel Shuktara,USD,90,This property offers: | Breakfast | Welcome drink | +2
Innotel Business Boutique Hotel,USD,32,This property offers: | Breakfast | Parking | +2
Lakeshore Heights,USD,38,This property offers: | Breakfast | +4
Galesia Hotel & Resort,USD,34,This property offers: | Parking | Express check-in | Free WiFi
Hotel Bengal Blueberry,USD,38,This property offers: | Parking | Free WiFi
Hotel Seven Star,USD,74,This property offers: | Breakfast | Airport pick-up | +6
Hotel Shopno Nibash,USD,40,This property offers: | Breakfast | Parking | Free WiFi
Xpressmall Hotels & Resorts,USD,66,This property offers: | Breakfast | Welcome drink | +2
Best Western Plus Maple Leaf,USD,13,This property offers: | Breakfast | +4
Sel Nibash Hotel & Serviced Apartments,USD,18,This property offers: | Breakfast | Parking | +2
zooFamily,USD,22,This property offers: | Breakfast | Parking | +2
Hotel Al Sarwar,USD,20,This property offers: | Free WiFi
After Hours Residence,USD,26,This property offers: | Breakfast | Parking | +2
Star Residence,USD,0,This property offers: | Breakfast | Parking | Free WiFi
Nascent Gardenia Baridhara,USD,0,This property offers: | Breakfast
Hotel Prime Inn Mirpur 10,USD,7,This property offers: | Breakfast | Parking | Free WiFi
Golden Tulip - The Grandmark Dhaka,USD,48,This property offers: | Breakfast | Express check-in | +1
Priyo Nibash Stylish Residential Hotel,USD,19,This property offers: | Breakfast | +4
THE WAY Dhaka,USD,50,This property offers: | Breakfast
Sky City Hotel Dhaka,USD,22,This property offers: | Breakfast | +4
Grace 21 Smart Hotel,USD,73,This property offers: | Breakfast | Express check-in | +1
HOTEL BLUE BIRD,USD,71,This property offers: | Free WiFi | Free fitness center access
Lakeshore Hotel and Apartments,USD,35,This property offers: | Breakfast | Free WiFi
Hotel Heaven Inn,USD,52,This property offers: | Free WiFi
Best Western PLUS Maya,USD,53,This property offers: | Breakfast | Parking | +2
Hotel Victory - Best in City Center,USD,21,This property offers: | Free WiFi
Hotel Pacific,USD,101,This property offers: | Breakfast | +4
Coventina Lake Suites,USD,91,This property offers: | Breakfast | Parking | +2
Hotel Labbaik Dhanmondi,USD,22,This property offers: | Breakfast | Parking | Free WiFi
Asia Hotel & Resorts,USD,110,This property offers: | Parking | Free WiFi
Hotel New Royal Palace Dhanmondi,USD,104,This property offers: | Breakfast | Parking | +2
The Raintree Dhaka,USD,33,This property offers: | Breakfast | Parking | +2
Royal Park Residence Hotel,USD,12,This property offers: | Breakfast | Free WiFi | Welcome drink
Hotel Tropical Daisy,USD,11,This property offers: | Express check-in | Free WiFi
Hotel City International Green Road,USD,75,This property offers: | Breakfast | +12
Hotel Air Inn Ltd - Airport View,USD,13,This property offers: | Free WiFi
La Villa Western,USD,42,This property offers: | Breakfast | +3
Jatra Flagship Dhaka Lake View,USD,40,This property offers: | Breakfast
Lakeshore Banani,USD,15,This property offers: | Breakfast | Parking | Free WiFi | +1
Hotel In Need - Near to the US and Canada Embassy in Dhaka,USD,59,This property offers: | Breakfast | Parking | Free WiFi
Amari Dhaka Hotel,USD,76,This property offers: | Breakfast | Welcome drink | +7
Hotel Rongdhanu Residential,USD,32,This property offers: | Breakfast | Dinner included | Free WiFi
Unique Regency Hotel,USD,30,This property offers: | Breakfast | Free WiFi
Hotel Bengal Inn,USD,17,This property offers: | Breakfast | Free WiFi
Tropical Daisy,USD,27,This property offers: | Breakfast | Parking | Free WiFi | +1
Hotel Ashrafee & Restaurant,USD,36,This property offers: | Breakfast
Platinum Residence,USD,93,This property offers: | Breakfast | Welcome drink | +2
Empyrean Dhaka City Centre,USD,87,This property offers: | Breakfast | Parking | +2
Crowne Plaza Dhaka Gulshan,USD,17,This property offers: | Parking | Free WiFi
Renaissance Dhaka Gulshan Hotel,USD,114,This property offers: | Breakfast | Parking | Free WiFi
Marry House,USD,10,This property offers: | Breakfast | Parking | Free WiFi
Hotel Bengal Blueberry,USD,62,This property offers: | Breakfast | Parking | Free WiFi
Hotel Nandini,USD,55,This property offers: | Breakfast | Parking | Free WiFi
Hotel Progati Inn,USD,54,This property offers: | Breakfast | Parking | Free WiFi
Nagar Valley Hotel Ltd.,USD,33,This property offers: | Free WiFi
Hotel Labbaik Three,USD,25,This property offers: | Free WiFi
The Zabeer Dhaka,USD,52,This property offers: | Desk/workspace | Washer | +2
Marino Royal Hotel,USD,135,This property offers: | Breakfast | Parking | Free WiFi
The Elite Residence Dhaka,USD,220,This property offers: | Free WiFi
White Rose Suites Ltd,USD,20,This property offers: | Breakfast | Parking | Free WiFi | +1
Jatra Hotel Grand Royal,USD,68,This property offers: | Breakfast | Parking | Free WiFi
Ascott The Residence Dhaka,USD,40,This property offers: | Parking | Free WiFi
Mohammadia Restaurant & Guest House Near United Hospital,USD,35,This property offers: | Parking | Free WiFi
Short stay service apartment,USD,32,This property offers: | Breakfast | Parking | +2
Cozy Studio Apartment Basundhara,USD,13,This property offers: | Breakfast | Parking | Free WiFi
Unique Regency Hotel,USD,13,This property offers: | Breakfast | Parking
Hotel Muna International (Second Floor),USD,17,This property offers: | Breakfast | Parking | +2
Hotel La Vinci,USD,64,This property offers: | Breakfast | Free WiFi
Pearl Hotel,USD,60,This property offers: | Breakfast
Hotel Omni Residency,USD,30,This property offers: | Breakfast | +4
Memento Suites an Airport Hotel,USD,23,This property offers: | Breakfast | Dinner included
Hotel White House International (Near Dhaka Medical),USD,37,This property offers: | Breakfast | +4
HOTEL THE CAPITAL LTD.,USD,63,This property offers: | Breakfast | Free WiFi
Park Hyatt Dhaka,USD,19,This property offers: | Breakfast | Parking | +2
